Priority,Date,Start Time,End Time,Description,Volunteer Name,Seller Number,Mobile Number,Seletected Time
None,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Cupp, Stanley",S474,919-123-1248,"Wed, Jun 22, 2016 2:03"
None,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Flay, Sue",L151,919-123-1249,"Fri, Jul 15, 2016 8:45"
Medium,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Hawk, Tommy",E453,919-123-1250,"Mon, Jul 4, 2016 5:25"
None,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Peace, Warren",001699,919-123-1251,"Fri, Jul 1, 2016 4:25"
None,"Thu, Aug 4, 2016",4:00 PM,7:00 PM,Setup,"Pole, Lou",J119,919-123-1252,"Wed, Jul 13, 2016 2:49"
None,"Fri, Aug 5, 2016",8:30 AM,12:00 PM,Setup,"Kinn, Manny",L151,919-123-1253,"Fri, Jul 15, 2016 8:45"
None,"Fri, Aug 5, 2016",8:30 AM,12:00 PM,Setup,"Oki, Kerry",K978,919-123-1254,"Sun, Jun 26, 2016 9:35"
None,"Fri, Aug 5, 2016",8:30 AM,12:00 PM,Setup,"Case, Justin",D667,919-123-1255,"Wed, Jul 13, 2016 2:14"
None,"Fri, Aug 5, 2016",8:30 AM,12:00 PM,Setup,"King, Joe",W826,919-123-1256,"Tue, Jun 28, 2016 8:56"
None,"Fri, Aug 5, 2016",9:00 AM,12:00 PM,Setup,"Stardust, Ziggy",B336,919-123-1234,"Wed, Jul 13, 2016 12:35"
Medium,"Fri, Aug 5, 2016",9:00 AM,12:00 PM,Setup,"Conda, Anna",E532,919-123-1235,"Tue, Jun 21, 2016 8:21"
None,"Fri, Aug 5, 2016",9:00 AM,12:00 PM,Setup,"Graham, Anna",H961,919-123-1236,"Wed, Jun 22, 2016 9:13"
None,"Fri, Aug 5, 2016",9:00 AM,12:00 PM,Setup,"Teak, Anne",J865,919-123-1237,"Fri, Jun 24, 2016 3:21"
None,"Fri, Aug 5, 2016",12:00 PM,3:00 PM,As Needed,"Hammer, Armand",D526,919-123-1238,"Wed, Jul 13, 2016 12:35"
None,"Fri, Aug 5, 2016",12:00 PM,3:00 PM,As Needed,"Rubin, Billy",D602,919-123-1239,"Tue, Jun 21, 2016 8:21"
None,"Fri, Aug 5, 2016",12:00 PM,3:00 PM,As Needed,"Lee, Brock",D486,919-123-1240,"Thu, Jun 23, 2016 2:53"
None,"Fri, Aug 5, 2016",3:00 PM,6:00 PM,Sale Volunteer,"Noring, Constance",B336,919-123-1241,"Wed, Jun 29, 2016 5:52"
None,"Fri, Aug 5, 2016",3:00 PM,6:00 PM,Sale Volunteer,"Druff, Dan",E532,919-123-1242,"Tue, Jun 28, 2016 5:22"
None,"Fri, Aug 5, 2016",3:00 PM,6:00 PM,Sale Volunteer,"Soares, Dinah",M133,919-123-1243,"Sun, Jun 26, 2016 9:35"
None,"Fri, Aug 5, 2016",3:00 PM,6:00 PM,Sale Volunteer,"Rhodes, Dusty",D557,919-123-1244,"Sat, Jul 9, 2016 8:36"
None,"Fri, Aug 5, 2016",3:00 PM,6:00 PM,Sale Volunteer,"Enstein, Frank",D526,919-123-1245,"Mon, Jul 4, 2016 5:25"
None,"Fri, Aug 5, 2016",4:00 PM,8:00 PM,NON MEMBER VOLUNTEER,"Banks, Robin",001699,919-123-1246,"Tue, Jun 21, 2016 4:05"
None,"Fri, Aug 5, 2016",4:00 PM,8:00 PM,NON MEMBER VOLUNTEER,"Still, Stan",M133,919-123-1247,"Thu, Jun 23, 2016 7:17"
Medium,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Cupp, Stanley",S474,919-123-1248,"Wed, Jun 29, 2016 5:51"
Medium,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Flay, Sue",L151,919-123-1249,"Tue, Jun 21, 2016 9:16"
High,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Hawk, Tommy",E453,919-123-1250,"Tue, Jun 21, 2016 1:51"
Medium,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Peace, Warren",001699,919-123-1251,"Mon, Jun 20, 2016 12:59"
Medium,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Pole, Lou",J119,919-123-1252,"Sat, Jul 9, 2016 8:36"
High,"Fri, Aug 5, 2016",5:00 PM,8:00 PM,Sale Volunteer,"Kinn, Manny",L151,919-123-1253,"Mon, Jun 20, 2016 6:26"
High,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Oki, Kerry",K978,919-123-1254,"Wed, Jun 29, 2016 5:51"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Case, Justin",D667,919-123-1255,"Tue, Jun 21, 2016 1:51"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"King, Joe",W826,919-123-1256,"Wed, Jul 13, 2016 9:02"
High,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,NON MEMBER VOLUNTEER,"Stardust, Ziggy",B336,919-123-1234,"Thu, Jun 23, 2016 12:20"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Conda, Anna",E532,919-123-1235,"Sat, Jul 9, 2016 9:44"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Graham, Anna",H961,919-123-1236,"Fri, Jul 15, 2016 10:30"
High,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,NON MEMBER VOLUNTEER,"Teak, Anne",J865,919-123-1237,"Thu, Jun 23, 2016 12:22"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Hammer, Armand",D526,919-123-1238,"Thu, Jul 14, 2016 11:05"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Rubin, Billy",D602,919-123-1239,"Fri, Jul 8, 2016 2:19"
None,"Fri, Aug 5, 2016",7:00 PM,10:00 PM,Sale Volunteer,"Lee, Brock",D486,919-123-1240,"Thu, Jun 23, 2016 2:52"
None,"Sat, Aug 6, 2016",7:30 AM,10:30 AM,Sale Volunteer,"Noring, Constance",B336,919-123-1241,"Tue, Jun 28, 2016 8:58"
None,"Sat, Aug 6, 2016",7:30 AM,10:30 AM,Sale Volunteer,"Druff, Dan",E532,919-123-1242,"Wed, Jun 22, 2016 9:13"
None,"Sat, Aug 6, 2016",7:30 AM,10:30 AM,Sale Volunteer,"Soares, Dinah",M133,919-123-1243,"Wed, Jul 13, 2016 2:49"
High,"Sat, Aug 6, 2016",7:30 AM,3:30 PM,Sale Volunteer,"Rhodes, Dusty",D557,919-123-1244,"Tue, Jun 21, 2016 8:22"
None,"Sat, Aug 6, 2016",8:00 AM,11:00 AM,Sale volunteer,"Enstein, Frank",D526,919-123-1245,"Sun, Jun 26, 2016 9:36"
None,"Sat, Aug 6, 2016",9:00 AM,3:30 PM,Sale Volunteer,"Banks, Robin",001699,919-123-1246,"Sun, Jun 26, 2016 8:34"
High,"Sat, Aug 6, 2016",10:00 AM,4:00 PM,Sale Volunteer,"Still, Stan",M133,919-123-1247,"Wed, Jun 22, 2016 9:18"
High,"Sat, Aug 6, 2016",10:00 AM,4:00 PM,Sale Volunteer,"Cupp, Stanley",S474,919-123-1248,"Wed, Jun 22, 2016 2:04"
None,"Sat, Aug 6, 2016",10:00 AM,4:00 PM,Sale Volunteer,"Flay, Sue",L151,919-123-1249,"Wed, Jul 6, 2016 3:27"
None,"Sat, Aug 6, 2016",11:00 AM,4:00 PM,Sale Volunteer,"Hawk, Tommy",E453,919-123-1250,"Thu, Jun 23, 2016 10:16"
None,"Sat, Aug 6, 2016",11:00 AM,4:00 PM,Sale Volunteer,"Peace, Warren",001699,919-123-1251,"Sun, Jun 26, 2016 9:36"
None,"Sat, Aug 6, 2016",11:00 AM,4:00 PM,Sale Volunteer,"Pole, Lou",J119,919-123-1252,"Wed, Jul 13, 2016 7:47"
None,"Sat, Aug 6, 2016",11:00 AM,4:00 PM,Sale Volunteer,"Kinn, Manny",L151,919-123-1253,"Mon, Jul 4, 2016 5:34"
None,"Sat, Aug 6, 2016",1:30 PM,4:30 PM,Sale Volunteer,"Oki, Kerry",K978,919-123-1254,"Sun, Jul 10, 2016 9:17"
None,"Sat, Aug 6, 2016",1:30 PM,4:30 PM,Sale Volunteer,"Case, Justin",D667,919-123-1255,"Fri, Jul 1, 2016 4:28"
High,"Sat, Aug 6, 2016",3:00 PM,6:00 PM,Sale volunteer,"King, Joe",W826,919-123-1256,"Wed, Jul 13, 2016 8:59"
High,"Sat, Aug 6, 2016",3:00 PM,6:00 PM,Sale volunteer,"Stardust, Ziggy",B336,919-123-1234,"Sat, Jul 9, 2016 8:34"
High,"Sat, Aug 6, 2016",3:00 PM,7:00 PM,Rack breakdown-return- heavy lifting,"Conda, Anna",E532,919-123-1235,"Sun, Jul 10, 2016 9:17"
None,"Sat, Aug 6, 2016",3:00 PM,7:00 PM,Rack breakdown-return- heavy lifting,"Graham, Anna",H961,919-123-1236,"Thu, Jun 23, 2016 2:36"
None,"Sat, Aug 6, 2016",3:00 PM,7:00 PM,Rack breakdown-return- heavy lifting,"Teak, Anne",J865,919-123-1237,"Fri, Jun 24, 2016 10:52"
